trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
53,False,"{'a': 0.3, 'e': 0.9922324299219849}",35,0,-158.2350954459608,"{0: 21, 1: 4, 2: 8, 3: 0, 4: 2}",0
54,False,"{'a': 0.3, 'e': 0.9918374288468401}",20,0,-71.59019419205131,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.3, 'e': 0.991422514586288}",25,0,-54.114810160920364,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.3, 'e': 0.990986701347152}",30,0,-150.99673014920245,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
57,False,"{'a': 0.3, 'e': 0.9905289564180538}",35,0,-75.56736535742562,"{0: 24, 1: 5, 2: 5, 3: 1, 4: 0}",0
58,False,"{'a': 0.3, 'e': 0.9900481981330957}",20,0,-19.43637076352599,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.9895432937680818}",30,0,-140.88849379268808,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
60,False,"{'a': 0.3, 'e': 0.9890130573694068}",20,0,-143.0541177923897,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
61,False,"{'a': 0.3, 'e': 0.9884562475160777}",25,0,-101.62175366191197,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.3, 'e': 0.9878715650157257}",20,0,-159.2950456906707,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
63,False,"{'a': 0.3, 'e': 0.9872576505358884}",20,0,-106.47595958736957,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.3, 'e': 0.9866130821723351}",25,0,-84.40547273814263,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
65,False,"{'a': 0.3, 'e': 0.9859363729567544}",25,0,-59.933274247818176,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
66,False,"{'a': 0.3, 'e': 0.9852259683067269}",25,0,-152.58336570017144,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
67,False,"{'a': 0.3, 'e': 0.9844802434215911}",20,0,-55.42369280596356,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
68,False,"{'a': 0.3, 'e': 0.9836975006285591}",20,8,-17.222279741722986,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.3, 'e': 0.9828759666842724}",30,0,-198.3315609763483,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
70,False,"{'a': 0.3, 'e': 0.9820137900379085}",30,0,-92.14861028900256,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.3, 'e': 0.9811090380629609}",25,0,-86.64566517460999,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
72,False,"{'a': 0.3, 'e': 0.9801596942659225}",25,0,-110.36103436867046,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
73,False,"{'a': 0.3, 'e': 0.9791636554813196}",20,14,-2.757859637622215,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.3, 'e': 0.9781187290638694}",25,0,-135.4162281001041,"{0: 16, 1: 5, 2: 1, 3: 0, 4: 3}",0
75,False,"{'a': 0.3, 'e': 0.9770226300899744}",20,0,-96.57565475820913,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.3, 'e': 0.9758729785823308}",30,1,-43.04333289737627,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 0}",1
77,False,"{'a': 0.3, 'e': 0.9746672967731284}",25,0,-66.64084483542425,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
78,False,"{'a': 0.3, 'e': 0.973403006423134}",25,0,-206.5507809911914,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
79,False,"{'a': 0.3, 'e': 0.9720774262159271}",25,0,-161.97570382498662,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
80,False,"{'a': 0.3, 'e': 0.9706877692486436}",20,6,-77.14106530572306,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
81,False,"{'a': 0.3, 'e': 0.969231140642852}",30,1,-139.4760380391541,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 3}",1
82,False,"{'a': 0.3, 'e': 0.9677045353015495}",25,0,-123.9295351622349,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
83,False,"{'a': 0.3, 'e': 0.9661048358408219}",30,0,-184.8760245643148,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
84,False,"{'a': 0.3, 'e': 0.9644288107273639}",25,9,-89.17363603752703,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
85,False,"{'a': 0.3, 'e': 0.9626731126558706}",30,0,-180.7744964398571,"{0: 11, 1: 7, 2: 10, 3: 1, 4: 1}",0
86,False,"{'a': 0.3, 'e': 0.9608342772032357}",20,13,10.416480107560321,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.3, 'e': 0.958908721799535}",20,0,-104.23566695730948,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
88,False,"{'a': 0.3, 'e': 0.9568927450589139}",20,0,-48.668996871269826,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.3, 'e': 0.9547825265167125}",20,0,-111.18780046916334,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
90,False,"{'a': 0.3, 'e': 0.9525741268224334}",20,0,-34.57370859365942,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.3, 'e': 0.9502634884414434}",20,0,-87.95375781709636,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
92,False,"{'a': 0.3, 'e': 0.9478464369215823}",25,0,-242.02839159000936,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 6}",0
93,False,"{'a': 0.3, 'e': 0.9453186827840592}",20,0,-74.5291273133569,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.3, 'e': 0.9426758241011313}",35,0,-213.18168150014895,"{0: 22, 1: 2, 2: 7, 3: 0, 4: 4}",0
95,False,"{'a': 0.3, 'e': 0.9399133498259924}",30,0,-120.42855868949795,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
96,False,"{'a': 0.3, 'e': 0.9370266439430035}",25,0,-78.18582151081054,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
97,False,"{'a': 0.3, 'e': 0.9340109905087812}",20,0,-131.42944138556044,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
98,False,"{'a': 0.3, 'e': 0.9308615796566533}",20,0,-128.62616218076715,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
99,False,"{'a': 0.3, 'e': 0.9275735146384823}",20,0,-101.03018385532059,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.3, 'e': 0.9241418199787566}",25,0,-136.59141119493427,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
101,False,"{'a': 0.3, 'e': 0.9205614508160216}",20,10,-45.129251990447315,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 0}",1
102,False,"{'a': 0.3, 'e': 0.9168273035060777}",25,0,-180.6697344942777,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
